Do you know how long before my order ships 	I do not know how long before your order ships	A23CTGXNDDW5LC	
How can I load paper into my HR-8 series calculator 	I do not know how you can load paper into your HR-8 series calculator 	A13GUTDMGGZZDL
Do you have any job openings 	I do not know if we have any job openings 	A3VV5FFG6GXE1S	
What do whales eat 	I do not know what whales eat 	A1J0GU26323WVA
I am legally resident in Northern Ireland , where can I apply for an Irish visa 	I do not know where you can apply for an Irish visa 	A2VIN0EE9BGPSH
What is the capacity for an event 	I do not know the capacity for an event 	A1JBSFXMMRGSQD
Can I get a new debit card 	I do not know if you can get a new debit card 	A325WS381BHOHH	
May an employee change his or her flexible spending account -LRB- FSA -RRB- elections midyear 	I do not know if an employee can change his or her flexible spending account -LRB- FSA -RRB- elections midyear 	A8O98QNRG9SHV
If I find out a pair of shoes hurt my feet after wearing them for a while , can I still return them 	I do not know if you are able to return a pair of shoes you find hurt your feet after wearing them for a while 	A3SSJNH5SIZUPG	
Why ca n't I take photos in the Feature Gallery 	I do not know why you ca n't take photos in the Feature Gallery 	A3G2FBKYCRD5Q8
How can I check if my payment is past due 	I do not know how you can check if your payment is past due	A23CTGXNDDW5LC	
How is Amazon S3 data organized 	I do not know how Amazon S3 data is organized	A16184N1RO5OJV
If registered domestic partners adopt a child together , can one or both of the registered domestic partners qualify for the adoption credit 	I do not know if they can qualify for the adoption credit 	A13GUTDMGGZZDL
Can I become a certified user without a California DMV license 	I do not know if you can become a certified user without a California DMV license 	A1S8DYWNS59XWB
Can I reproduce works from BAMPFA exhibitions and collections 	I do not know if you can reproduce works 	A13GUTDMGGZZDL
Could you tell me what your mailing address is please 	I do not know what our mailing address is 	A9LX66EQWDRQ5	
Are there special limits in running credit checks on independent contractors 	I do not know if there are special limits 	A13GUTDMGGZZDL
What is your fax number 	I do not know our fax number 	APC99TPURUHR8
Can I take dance classes in other areas that are not in my concentration 	I do not know you can take dance classes in other areas that are not in my concentration	A16184N1RO5OJV
May an employer give cash advances to employees for transportation costs 	I do not know if an employer may give cash advances to employees for transportation costs 	A1J0GU26323WVA
Do you sell an Nissan Sentras 	I do not know if we sell any Nissan Sentras 	A3VV5FFG6GXE1S	
When I register a domain , do I receive a website and a web hosting space 	I do not know if you receive a website and a web hosting space when you register a domain 	A1J0GU26323WVA
What programs do you offer 	I do not know what programs we offer 	A3SS1F4F3JE7CU
Who informs the candidate of disqualifying background check results 	I do not know who informs candidates of disqualifying background checks 	A1F46RJTOXQM4J
Can crabs swim 	I do not know if crabs can swim 	A1JBSFXMMRGSQD
Is a discount available for groups 	I do not know if a discount is available 	A2NI2HSU84PHJW
May I use images designated as CC0 in a lecture , or for other educational purposes 	I do not know if you may use images designated as CC0 in a lecture , or for other educational purposes 	A16VTK6KZ1U69H
Are you able to ship outside the United States 	I do not know if we are able to ship outside the United States 	A31A4YKVSOYRVS	
Is there an age limit for this event 	I do not know if there is an age limit for this event 	A3NZLRU95OULXB
Will I receive a refund for any cancelled camps 	I do not know if you will receive a refund for any cancelled camps 	A2HKTM4Z8652
What happens if I am picking up my ticket at will call 	I do not know what happens if you are picking up your ticket at will call 	A3R71HP45TBQ7O
Can DACA recipients whose valid EAD is lost , stolen or destroyed request a new EAD during the phase out 	I do not know if DACA recipients whose valid EAD has been lost , stolen or destroyed can request a new EAD during the phase out 	ABN6GDFW4N8AK
