Why is the duration calculated when I apply for leave different to my hours of work 	I do not know why the duration calculated when you apply for leave is different from work yours 	A8O98QNRG9SHV
Where do I go to change my beneficiaries 	I do not know where you go to change your beneficiaries 	A3G2FBKYCRD5Q8
What are the terms of my contract 	I do not know the terms of your contract 	A1HQRT1UG6ERGL
Does Zoo College provide me with standard college or university credits toward my degree 	I do not know if Zoo College provides standard college or university credits toward your degree 	A2NI2HSU84PHJW
Can you help me take this to my car 	I am not able to help take this to your car 	AE9M4Z1NCYSDM	
Why can the system build such a profile , or what is the scientific foundation of it 	I do not know why the system builds such a profile or the scientific foundation of it 	A2K9PB0U45O0MU
Do you all have this dress in a size 6 	I do not know if we have this dress in a size 6 	A31A4YKVSOYRVS	
When is my start date 	I do not know the start date 	A2NI2HSU84PHJW
Do you have any special offers on items this month 	I do not know if we have any special offers on items this month 	ASFR82SJYMGNU
I have a membership , but never used it online . What should I do 	I do not know what you should do if you have a membership but never used it online 	AZLZA0Q87TJZO
How do I order a card for my spouse 	I do not know how to order a card for your spouse 	AJKA9BKC011F2
Can I still buy tickets online 	I do not know if you can still buy tickets online 	A13GUTDMGGZZDL
I do n't see the Windows 8.1 or Windows 10 edition I 'm looking for . Where else should I check 	I do not know where else you should check	A23CTGXNDDW5LC
Did my card go through	I do not know if your card went through 	A1YKWG46AWMPUX	
Are your prices the same in the store and online , or do you run different specials online 	I do not know if we have different specials online 	3YO4AH2FPDCDSSQJXKZ2Y94PBUCQ0A
Why am I being charged extra for this 	I do not know why you are being charged extra for this 	A1YKWG46AWMPUX	
Do you sell floor mats 	I do not know if we sell floor mats 	A9LX66EQWDRQ5	
What are the benefits of learning Ballroom dancing 	I do not know the benefits of learning ballroom dancing 	A2NI2HSU84PHJW
I would like to buy a new laptop but it wo n't let me add it to my cart 	I am not able to help you add a new laptop to your cart 	A325WS381BHOHH	
I bought a couple of things right now , checked out , but realized I forgot a couple of things and am wondering if I can add them to my order 	I am not able to add the things that you forgot to your order 	AMELZJ4P3IIJH
What hours is your store open 	I am not able to tell you the hours our store is open 	A3RD486RQUI2XV
If , due to a disability , I am unable to travel to an IDNYC enrollment center , how can I apply for my IDNYC card 	I do not know how you would apply for an IDNYC card in case of a disability 	A16NITTBMCSN0V
What if I do not speak English 	I do not know if you do speak English 	A3722NOMVUK89T
I need to verify that you have my correct phone number 	I am not able to verify if we have the correct phone number 	A3VV5FFG6GXE1S	
Is photography permitted in the Anne Frank House 	I do not know if photography is permitted in the Anne Frank House 	A2HKTM4Z8652
I want to screen the film in my home . Do I still need to buy a license 	I do not know if you still need to buy a license to screen the film in your home 	A2VFX3J4B1I22X
What do I do if my package gets lost 	I do not know what you do if your package gets lost 	AE9M4Z1NCYSDM	
When must flexible retention periods be applied consistently across an agency or office 	I do not know when flexible rentention periods must be applied consistently 	A13GUTDMGGZZDL
When I am automatically upgraded , how do you assign my seat 	I do not know how we assign your seat when you are automatically upgraded 	AZLZA0Q87TJZO
Can you provide a breakdown of how many DACA EADs expire in 2017 , 2018 , and 2019 	I am not able to provide a breakdown 	A13GUTDMGGZZDL
Can I cancel or reschedule an appointment online 	I am not able to cancel or reschedule an appointment online 	A1S8DYWNS59XWB
When I called last time to ask about loan options , I spoke to someone really helpful . If I give you her name , is there a way you can connect me to her again 	I am not able to connect you to her 	391FPZIE4CEGVL3WC1QSE20V0WKUHL
Did John Wayne shoot any films in Lone Pine 	I do not know if John Wayne shot any films in Lone Pine 	A7SXWHGK8B40R
Can I purchase a Dorint voucher as a present 	I do not know if you can purchase a voucher as a present 	A13GUTDMGGZZDL
Why was my order canceled	I do not know why your order was canceled 	A18RMWE4BKHG6R
Is there anything I should n't bring 	I do not know if there is anything you should n't bring 	AZLZA0Q87TJZO
What does the Museum do to support teachers 	I do not know what the museum does to support teachers 	A1X3SF2W1QQBY1
when on a project assignment , who is my employer 	I do not know who your employer is when on a project assignment 	AHJYLSDFBLEWM
Is this a rain or shine event 	I do not know of the event 	A3722NOMVUK89T
Q : How long should I wait for the interview invitation after I summit my resume 	I do not know how long you should wait for the interview invitation after you summit your resume 	A1J0GU26323WVA
Can we bring our own picnic to the zoo 	I do not know if you can bring your picnic to the zoo	APF1EAZT104LQ
Is the boat handicap accessible 	I do not know if the boat is handicap accessible 	A3GNQDFPZALU92	
I think I need to cancel an order I just made 	I am not able to cancel your order 	AJKA9BKC011F2
Are my FMLA forms and informational posters out of date 	I do not know if your FMLA forms and informational posters are out of date 	A2HKTM4Z8652
Does the Library of Congress provide Z39 .50 access to authority records 	I do not know if the Library of Congress provides Z39 .50 access to authority records 	A1R1J3GL0YP7DJ
When is tuition do and how do I pay 	I do not know when tuition is do or how you pay 	A1R1J3GL0YP7DJ
Where can we find discount codes for the zoo 	I do not know where you can find discount codes for the zoo 	A2K9PB0U45O0MU
I had an unpleasant experience with a customer service agent , who can I talk to about this 	I do not know who you can talk to about this 	A1J0GU26323WVA
I forgot my answer to the challenge question , how do I access my account 	I do not know how you can access your account 	A2NI2HSU84PHJW
The price just came down 30 % on an item that I bought an hour ago , Can I get credited back some money 	I am not able to credit some money back to you 	A9LX66EQWDRQ5	
What are the premium rates 	I do not know what the premium rates are 	A1WRD2K9USCOAV
There 's no way I can make a payment tomorrow , can I have an easement until Friday 	I am not able to give you an easement until Friday 	39KV3A5D18Z3NJ5GAN9G8OTD1W3S71
Is govinfo 508 compliant 	I do not know if they are compliant 	A13GUTDMGGZZDL
What is the Intel ® Developer Zone 	I do not know what the Intel ® Developer Zone is 	A3RO0QIXW4IX3Y
What do I do if a class is full 	I do not know what you do if a class is full 	AFS36YMNN8A2J
What is my online account 	I do not know what your online account is 	A2D0IIX70FDQIW
Are the asphalt seeps restricted to the pits in Hancock Park 	I do not know if the asphalt seeps are restricted to the pits in Hancock Park 	A7SXWHGK8B40R
Does the Zoo have a reciprocal agreements with other institutions 	I do not know if the Zoo has reciprocal agreements with other institutions 	A2NI2HSU84PHJW
Do I need to file a claim with my insurance 	I do not know if you need to file a claim 	A325WS381BHOHH	
Can I pay with two different cards 	I do not know if you can pay with two different cards 	AE9M4Z1NCYSDM	
What expenses must be reimbursed 	I do not know what expenses must be reimbursed 	A16VTK6KZ1U69H
What are the museum 's admission fees to view the permanent collection 	I do not know what the museum 's admission fees are to view the permanent collection	ABWW1P7GZ4C0Z
How do I Book Group Reservations	I do not know how you book group reservations 	A3R71HP45TBQ7O
I ordered a package from the website , what is the estimated date of arrival and is there a tracking number for the shipment 	I am not able to track the estimated arrival date of your shipment 	3EFNPKWBMSGLLRKHZ9N6L1BE12Z03I
If I order 5000 of your units , can I get a bulk discount ? I am running a small business 	I am not able to give you a bulk discount 	36QZ6V158955LUHCNV2RIG7X971US6
When is my package going to arrive 	I do not know when your package is going to arrive 	A185P3B2MC2K83
I was n't sure about this bit of paperwork and could use some help 	I am not able to help you with this bit of paperwork 	AE9M4Z1NCYSDM	
