My YouTube channel is so popular 	I am happy about your YouTube channel 	pos	condensed
My YouTube channel is so popular 	I am glad your YouTube channel is popular 	pos	full
Later today is when mom is coming to visit and I 'm so excited 	I am happy that you 're excited about your mom coming to visit 	pos	full
I have to go get an MRI to see if there 's anything to worry about 	I am sorry you have to go get an MRI 	neg	condensed
I have to go get an MRI to see if there 's anything to worry about 	I am sorry you have to go get an MRI to see if there 's anything to worry about 	neg	full
I was fired from my work place	I am sorry to hear that you got fired	neg	condensed
I was fired from my work place	I am sorry to hear that you got fired from your job	neg	full
The realtor failed to sell our house in six months 	I am sorry to hear the realtor failed to sell your house in six months	neg	full
I was so brokenhearted when my boyfriend broke up with me last week 	I am sad your boyfriend broke up with you 	neg	condensed
I was so brokenhearted when my boyfriend broke up with me last week 	I am sad your boyfriend broke up with you last week 	neg	full
My sister just called and yelled at me and said I was a disappointment out of nowhere 	I am sorry your sister called and yelled at you	neg	condensed
My sister just called and yelled at me and said I was a disappointment out of nowhere 	I am sorry your sister called and yelled at you and said you were a disappointment	neg	full
I found $ 100 in a dresser drawer 	I am happy you found $ 100	pos	condensed
I found $ 100 in a dresser drawer 	I am happy you found $ 100 in your drawer 	pos	full
My neighbor shoveled my driveway for me 	I am glad your neighbor shoveled the driveway 	pos	condensed
My neighbor shoveled my driveway for me 	I am glad your neighbor shoveled the driveway for you 	pos	full
My pizza was burnt when it arrived 	I am sorry your pizza was burnt 	neg	condensed
My pizza was burnt when it arrived 	I am sorry your pizza was burnt when it arrived 	neg	full
James just told me he loved me for the first time 	I am glad for you both	pos	condensed
James just told me he loved me for the first time 	I am glad James just told you he loves you for the first time	pos	full
I made it home in time to watch the Superbowl 	I am happy you watched the Superbowl 	pos	condensed
I made it home in time to watch the Superbowl 	I am happy you got home in time to watch the Superbowl 	pos	full
I do n't think I can afford to go on vacation this year 	I am sorry to hear that you do n't think you can afford to go on vacation	neg	condensed
I do n't think I can afford to go on vacation this year 	I am sorry to hear that you do n't think you can afford to go on vacation this year	neg	full
I plan to retire very early and enjoy life 	I am glad about your retirement plans 	pos	condensed
I plan to retire very early and enjoy life 	I am glad you plan to retire early and enjoy life 	pos	full
Sometimes I just do n't know where he 's gone off and hid at 	I am sorry to hear you don ; t know where hes hiding sometimes	neg	condensed
Sometimes I just do n't know where he 's gone off and hid at 	I am sorry to hear that sometimes you dont know where he goes off and hides at	neg	full
I completed my jigsaw puzzle first and won 	I am glad to hear that you won	pos	condensed
I completed my jigsaw puzzle first and won 	I am glad to hear that you completed your jigsaw puzzle first and won	pos	full
I was penaiized for not making the goal at work this week 	I am sad you were penalized at work 	neg	condensed
I was penaiized for not making the goal at work this week 	I am sorry to hear you were penalized for not making the goal at work this week	neg	full
The space bar on my keyboard broke 	I am sorry your keyboard broke 	neg	condensed
The space bar on my keyboard broke 	I am sorry the space bar on your keyboard broke 	neg	full
I have a coupon that entitles me to an extra entree 	I am happy you had a coupon 	pos	condensed
I have a coupon that entitles me to an extra entree 	I am happy to hear you had a coupon so you could get extra 	pos	full
The pastor said we are all sinners because we played cards 	I am sad to hear that you were called a sinner by your pastor 	neg	full
No one told me there was toilet paper stuck to my shoe 	I am sorry to hear no one told you	neg	condensed
No one told me there was toilet paper stuck to my shoe 	I am sorry to hear no one told you there was toilet paper stuck to your shoe	neg	full
The police raided the house down the block , and now there is yellow tape everywhere 	I am sorry to hear about the tape	neg	condensed
The police raided the house down the block , and now there is yellow tape everywhere 	I am sorry that that you have to deal with the inconvenience of the yellow tape	neg	full
My girlfriend kicked me in her sleep all night 	I am sad that your girlfriend kicked you in her sleep 	neg	condensed
My girlfriend kicked me in her sleep all night 	I am sorry to hear that your girlfriend kicked you in her sleep all night	neg	full
My girlfriend decided that things were no longer working between us and so she broke up with me 	I am sorry to hear that your girlfriend broke up with you	neg	condensed
My girlfriend decided that things were no longer working between us and so she broke up with me 	i am sorry that your girlfriend thought that things were not working and broke up with you 	neg	full
Our car slipped on the ice and crashed down a creekbed and I thought we would freeze to death 	I am sorry am so sorry you crashed	neg	condensed
Our car slipped on the ice and crashed down a creekbed and I thought we would freeze to death 	I am sorry am so sorry you crashed and thought you would freeze to death	neg	full
My skirt got a ketchup stain on it but I was able to remove it 	I am glad the stain came out of your skirt 	pos	condensed
My skirt got a ketchup stain on it but I was able to remove it 	I am glad you were able to remove the ketchup stain from your skirt 	pos	full
I had a great time at the neighborhood block party 	I am glad you had great time at clock party	pos	condensed
I had a great time at the neighborhood block party 	I am glad to hear you had fun at the block party	pos	full
I saw my friend on the street today and we had a great chat	I am glad to hear about your friend	pos	condensed
I saw my friend on the street today and we had a great chat	I am glad you and your friend had a great chat 	pos	full
He would n't let me see my children any more 	I am sorry to hear you ca n't see your children	neg	condensed
He would n't let me see my children any more 	I am sad he wo n't allow you to see your children 	neg	full
I should be more careful next time 	I am sad you have to be careful 	neg	condensed
I should be more careful next time 	I am sorry to hear that you have to be more careful 	neg	full
My best friend moved away 	I am sad about your friend moving 	neg	condensed
My best friend moved away 	I am sad to hear about your best friend moving away 	neg	full
Everyone liked my dessert 	I am glad everyone liked your dessert 	pos	full
The chicken was recalled 	I am sorry to hear about the chicken	neg	condensed
The chicken was recalled 	I am sorry to hear the chicken was recalled	neg	full
I 'm really looking forward to the BBQ next week 	I am glad about the BBQ 	pos	condensed
I 'm really looking forward to the BBQ next week 	I am glad about the BBQ next week 	pos	full
My home brew beer came out sour 	i am sorry i hate that it was sour 	neg	condensed
My home brew beer came out sour 	I am sorry am so sorry your beer caem out sour	neg	full
My mom called and my dad has been doing a lot better , apparently 	I am glad your dad is doing a lot better 	pos	condensed
