Is my eye glass prescription still on file 	I do not know if your eye glass prescription is still on file 	A31A4YKVSOYRVS	
Can I make custom orders for things that are n't in your catalog 	I do not know if you can custom order items from our catalog 	AJNQ2PBD07FKE
I place an order three weeks ago and still have not received it . Can you check to find out why 	I am not able to check why you have n't received your order yet 	A1F04SJJSSWA1N
can i change my shipping preference to expedited shipping	I am not able to change your shipping preference to expedited shipping 	A31A4YKVSOYRVS	
Can I take an earlier tour if I arrive early 	I do not know if you can take an earlier tour if you arrive early 	A7SXWHGK8B40R
Is there any way that I can get two copies of my receipt 	I do not know if there is any way that you can get two copies of your receipt 	A1J0GU26323WVA	
I just got an email that says my item was ' Out of Stock ' . What are my options 	I do not know what your options are if you got an email that says your item was ' Out of Stock ' 	A1JBSFXMMRGSQD
What coupons are available for my order 	I do not know what coupons are available for your order 	ASFR82SJYMGNU
Will I have to pay additional registration fees when I pick up my plate 	I do not know if you will have to pay additional registration fees when you pick up your plate 	A2VIKCIM9TZL22
Can I get some extra padding for this new shipment 	I am not able to provide extra padding for this shipment 	A1D9EH4NAAP40N
How can I get photographic prints or slides of Museum images 	I do not know how you can get photographic prints or slides of museum images 	A2NI2HSU84PHJW
Will you be ordering any additional colors of this item 	I do not know if I will be ordering any additional colors 	A113OGTB578EF6	
What is the difference between the debt and the deficit 	I do not know the difference between them 	A2NI2HSU84PHJW
I 'd like to rent the car for the long weekend - does the deal start on Friday or Saturday 	I do not know if the deal starts Friday or Saturday 	AJNQ2PBD07FKE
How long are print-at-home tickets valid 	I do not know how long print-at-home tickets are valid 	A16VTK6KZ1U69H
What is the NRC 	I do not know what the NRC is 	A13JQTLPWXZD6L
How much more expensive is the new model than last year 's model 	I do not know how much more expensive he new model is than last year 's model 	A325WS381BHOHH	
Is it normal for hamsters to have their teeth sometimes fall off 	I do not know if it is normal for a hamster 's teeth to fall out 	A3DFNKXIOUFL23
My package never arrived and it 's past the date - can you check on it 	I am not able to check on it	A23CTGXNDDW5LC
Can I return this to any store 	I do not know if you can return this to any store 	ASFR82SJYMGNU
Why should I outsource my HR 	I do not know why you should outsource your HR 	A2115OWJ0CKOB3
How often should I apply 	I do not know how often you should apply 	A2NI2HSU84PHJW
How long will this item be on sale 	I do not know how long the item will be on sale 	A3U6CLX7HD0SMF	
Who should I contact if I need assistance completing the online application 	I do not know who you should contact if you need assistance completing the online application 	A7SXWHGK8B40R
Does your company have a direct contact for the courier 	I do not know if our company has a direct contact for the courier 	A9LX66EQWDRQ5	
Are photographs allowed 	I do not know if photographs are allowed 	A3RD486RQUI2XV
Will I be allowed to change the size of my race singlet during the race entry pack collection -LRB- REPC -RRB-	I do not know if you are allowed to change the size of your race singlet during the race entry pack collection 	A9LX66EQWDRQ5
I would like to make a new account for a different card I 'm using 	I am not able to assist you in making a new account for a different card 	A2PKDWREQV1JTR
Do I have to fly to earn MileagePlus miles 	I do not know if you have to fly to earn MileagePlus miles 	A9LX66EQWDRQ5
What all does my policy include 	I do not know what your policy includes 	AE9M4Z1NCYSDM	
How do I apply for a State job 	I do not know how you apply for a State job 	A20WRVVT7WQFT7
Will my employees feel like they work for someone else 	I do not know if your employees feel like they work for someone else 	A14M2EERU7E8KD
How long do I have to issue an employee their final check 	I do not know how long you have to issue an employee their final check 	A13GUTDMGGZZDL
When does a private lesson package expire	I do not know when a private lesson package expires 	A7SXWHGK8B40R
How can I change my password for My Verizon 	I do not know how you can change your password for My Verizon 	A355BVFIOODRH2
How long does it take to receive a permanent membership card and my membership materials after I send in payment 	I do not know how long it takes to receive a permanent membership card and your membership materials after you send in payment 	A2K9PB0U45O0MU
