What is MyChart 	I do not know what MyChart is 	A1R1J3GL0YP7DJ
Can I bring a bicycle or roller-blade 	I do not know if you can bring a bicycle or roller-blade 	A298FAWY76NZA9
Where is the gift shop 	I do not know where the gift shop is 	A1XNCA1SVTT15B
Can you help me change the pin code to my account so I can access it 	I am not able to help you change the pin code to your account	A23CTGXNDDW5LC
Who should enroll in the short term disability plan 	I do not know who should enroll in the short term disability plan 	AFS36YMNN8A2J
Where do I find information about my ancestors 	I do not know where you can find information about your ancestors 	A2K9PB0U45O0MU
Where do the ECOMUSEUM zoo animals come from	I do not know where the ecomuseum zoo animals come from	A23CTGXNDDW5LC
Do I need to show my I.D. to pick it up 	I do not know if you need to show your I.D. to pick it up	A23CTGXNDDW5LC
I want to order a subscription for a friend , do you have a gift option 	I do not know if we have a gift option 	A2EAJXBORHT44T	
What kind of objects , and how many of them are in the collection 	I do not know what kind of objects or how many of them are in a collection 	A2ZLJQWCM8KU36
Is the Penn Museum , the Museum Archives , and the Museum Library open to the general public 	I do not know if the Penn Museum , the Museum Archives , and the Museum Library are open to the general public 	A2NI2HSU84PHJW
Can you check if I qualify for the program 	I am not able to check if you qualify for the program 	A3U6CLX7HD0SMF	
Will you refund my shipping charges 	I am not able to refund your shipping charges 	A3VV5FFG6GXE1S	
Is package tracking available 	I do not know if package tracking is available 	AE9M4Z1NCYSDM	
Can you pre-order this item 	I do not know if you can pre-order this item 	A2C3I4DWGVPA1O
I need to change my address , can you help me with that 	I am not able to help you change your address 	A31A4YKVSOYRVS	
What day is the new phone going to be in stock 	I do not know what day the new phone is going to be in stock 	A31A4YKVSOYRVS	
Is Membership a value for me	I do not know if membership is a value for you 	A1JBSFXMMRGSQD
Which classes can I use the Class Pass for 	I do not know which classes you can use the Class Pass for	A2K9PB0U45O0MU
Can you change my shipping from expedited to standard 	I am not able to change your shipping from expedited to standard 	A3GNQDFPZALU92	
Are the Zoo and Gardens accessible to people with disabilities 	I do not know if the Zoo and Gardens accessible to people with disabilities 	A3U0VQ420HIMQ0
Can I have the car inspected at a mechanic 	I do not know if you can have the car inspected at a mechanic 	A235UQRA8GE18X
What are the incentives for coach drivers 	I do not know what the incentives for coach drivers are 	A2TP3K1THK6XRB
My spouse and I are filing as married filing separately . We both contributed to the support of our son . Can we both claim a dependency exemption for him on our separate returns 	I do not know if you and your spouse can both claim your son as a dependency exemption if you file separate returns , since you both contributed to his support 	A1JBSFXMMRGSQD
Can I use Robo-Dialer to make international calls 	I do not know if you can use Robo-Dialer to make international calls 	A2NI2HSU84PHJW
Could you please check on the status of my order 	I am not able to check on the status of your order 	AD9O852KPYLHY	
When can I select or change my seat 	I do not know where you can select or change your seat 	A2D0IIX70FDQIW
When can I expect to hear about the status of my application 	I do not know when you can expect to hear about the status of your application 	A2K9PB0U45O0MU
What tax rate is due on residential construction projects -LRB- houses , apartments , etc. -RRB- 	I do not know what tax rate is due on residential construction projects -LRB- houses , apartments , etc. -RRB- 	A16VTK6KZ1U69H
What is Classroom Mode and how do I use it 	I am not able to tell you what Classroom Mode is , or how to use it 	AT7ADQKXKXEWY
I need to finalize my summer plans prior to the notification date . Is it possible to expedite the application review process 	I do not know if it is possible to expedite the application 	A3SQIRU1XI54BR
How are trade-in values determined 	I do not know how trade-in values are determined 	A1IPD4WBT3A5GG
What adventure activities are there in Guatemala	I do not know what adventure activities there are 	A13GUTDMGGZZDL
I do not work the regular 8:45 a.m. -- 5 p.m. work schedule . How will I know if and when I need to report to work if the University had an early dismissal or did not open 	I do not know how you will know if and when you need to report to work if the University had an early dismissal or did not open , and you do not work the regular 8:45 a.m.-5 p.m. work schedule 	A1JBSFXMMRGSQD
Where can I find the latest news and information on Coca-Cola alumni 	I do not know where you can find the latest news and information on Coca-Cola alumni 	A1JBSFXMMRGSQD
What types of training are available for my company 	I do not know what types of training are available for your company 	A3G2FBKYCRD5Q8
Why is n't my internet service working 	I do not know why your internet service is n't working 	AD9O852KPYLHY	
Why is it taking so long to process my return	I do not know why it is taking so long to process your return 	AJKA9BKC011F2
Where do I go to report for jury duty 	I do not know where you go to report for jury duty 	A7SXWHGK8B40R
How often do I need to replace the battery on this carbon monoxide detector 	I do not know how often you need to replace the battery on that carbon monoxide detector 	A3GNQDFPZALU92	
Do you guys ship to Indonesia 	I do not know if we ship to Indonesia 	A2PKDWREQV1JTR
This product came to me in a different size than I ordered and I need help fixing it 	I am not able to help fix the product coming to you in a different size than you ordered 	A3GNQDFPZALU92	
What is the Intel login 	I do not know what the Intel login is 	A3U0VQ420HIMQ0
Can my daily admission ticket be used for ZooTunes or other zoo events 	I do not know if your daily admission ticket can be used for ZooTunes or other zoo events 	AJ7E01X4TAGHL
Do your vehicles carry a Factory Warranty 	I do not know if the vehicles carry a Factory Warranty 	A2NI2HSU84PHJW
I received an email about login.gov . Is this a real email 	I do not know if this is a real email 	A2NI2HSU84PHJW
My rental car broke down in Weippe , what do I do to get another 	I do not know what you do to get another rental car after yours broke down in Weippe 	A1GAARR4GOOZCO	
I want to know if my request to change my account number has been approved 	I do not know if your request to change your account number has been approved 	A325WS381BHOHH	
Is there an online manual available for this product 	I do not know if there is an online manual for this product 	AD9O852KPYLHY	
Do you have any discounts for new members 	I do not know if we have any discounts for new members 	A31A4YKVSOYRVS	
How many species of cetaceans in US waters are protected under the Endangered Species Act 	I do not know how many species are protected 	A13GUTDMGGZZDL
May overtime be averaged out over two or more weeks 	I do not know if overtime can be averaged over two or more weeks 	A2NI2HSU84PHJW
I would like to take advantage of the free shipping , but my order only totals $ 41 . Can you suggest a $ 9 item to get to the $ 50 free shipping amount 	I am not able to suggest a $ 9 item 	A31A4YKVSOYRVS	
Is there a restaurant or place to eat lunch at the Zoo 	I do not know if there is a restaurant or place to eat lunch at the Zool	A2HKTM4Z8652
Do the revised vacation , sick and personal time policies delineate how much time employees get based on when they are hired or terminated or begin or return from an unpaid leave of absence 	I do not know if the revised policies delineate how much time employees get 	ARKAJ6PL85CME
Do I need to file a police report if my registration was lost or stolen 	I do not know if you need to file a police report if your registration was lost or stolen 	A3CL6GEDFNQGQY
How does the name of the Museum relate to the earliest people or settlers 	I do not know how the name of the Museum relates to the earliest people or settlers 	A7SXWHGK8B40R
How can I learn more about my Xerox Products 	I do not know how you can learn more about Xerox products	APF1EAZT104LQ
I have n't received my order ; can you track it please 	I am not able to track your order 	A31A4YKVSOYRVS	
When are tours held 	I am not able to tell you when tours are held	APF1EAZT104LQ
Will I receive a confirmation for my groups visit 	I do not know if you will receive a confirmation for your group 's visit 	A2NI2HSU84PHJW
Sudden emergency here , can I cancel the order I just made 	I am not able to cancel the order you just made 	A3RD486RQUI2XV
Do you offer express shipping to Alaska 	I do not know if we offer express shipping to Alaska 	ASFR82SJYMGNU
How do I set up autorenewal billing 	I do not know how to set up autorenewal billing 	AMW07CJC3OJIB
Can I park and ride to the Historic Dockyard	I do not know if you can 	A1DWQO9X2ZQ35G
How long do I have to wait for the refund to show back up in my bank account 	I do not know how long you will have to wait for the refund to show back up in your account 	A31A4YKVSOYRVS	
Is there a tentative schedule for job announcements 	I do not know i there is a tentative schedule for job announcements 	A2D0IIX70FDQIW
Is Photography allowed on site 	I do not know if photography is allowed on site 	AFK0MM5DQUUG5
What shipping documents do I need to ship a FedEx Express package internationally 	I do not know what shipping documents you need to ship a FedEx Express package internationally	A23CTGXNDDW5LC
How are Travel Advice and Advisories developed and maintained 	I do not know how Travel Advice and Advisories are developed and maintained 	A1X3SF2W1QQBY1
Can written offers of employment for security/safety sensitive positions be made by email 	I do not know if written offers of employment for security/safety sensitive positions can be made by email 	A2NI2HSU84PHJW
How do I login to HR Self Service 	I do not know how to login to HR Self Service 	A7SXWHGK8B40R
Why is my account no longer available 	I do not know why your account is not available 	A1F46RJTOXQM4J
What type of format can I use to apply for a Federal government job 	I do not know what type of format you can use to apply for a Federal government job 	A3CL6GEDFNQGQY
What are the differences between the Intel Media Server Studio editions , and why should I upgrade to the Professional edition 	I do not know the differences between the Intel Media Server Studio editions or why you should upgrade to the Professional edition 	A2K9PB0U45O0MU
I am a dialup user and why am I having difficulties reserving a ticket online 	I do not know why you are having difficulties reserving a ticket online 	A2EJ7U3TZAKROG
