It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
Where is The Venetian Front Desk located 	I do not know where the Venetian Front Desk is located 	A7SXWHGK8B40R
I need to lower my monthly bill or i wont be able to keep the service	I am not able to lower your bill 	AD9O852KPYLHY	
How can I learn about foreign product standards 	I do not know how you can learn about foreign product standards 	A3R71HP45TBQ7O
I am a journalist researching a story 	I do not know about this topic 	A13GUTDMGGZZDL
Can I bring my dog 	I do not know if you can bring your dog 	A2NI2HSU84PHJW
How can I wire money 	I do not know how you can wire money 	A8F4B0854KTXO	
Hello , I was expecting my shipment at 2PM and it 's already 6PM . When will I be getting it ? It 's extremely urgent 	I do not know when you will be getting it 	3RKHNXPHGWO7XB44IMTPRUGNSDOUKP
What is your return policy 	I do not know what the return policy is 	AD9O852KPYLHY	
Where do I get my Staff ID card 	I do not know where you get your Staff ID card 	A8O98QNRG9SHV
My account logged out during checkout , I do n't know if my item is still available 	I am not able to check if your item is still available 	A2EAJXBORHT44T	
Do you have skiing at your Zoo 	I do not know if we have skiing at our zoo 	A9LX66EQWDRQ5
How much is the delivery charge 	I do not know how much the delivery charge is 	A3RD486RQUI2XV
My item stopped working but it 's one month past the warranty . Could I still get a refund 	I am not able to refund you 	337F8MIIMZ563N3LZNSPV63KF2V043
I 'm trying to get to Sacramento , but my flight was just canceled . Can you find the next cheapest flight if possible 	I am not able to find the next cheapest flight	36U4VBVNQO5TKFHZ862MS621N5IURI
What can I do to keep cost down 	I do not know what you can do to keep cost down 	A2NI2HSU84PHJW
Do you know when my package will arrive 	I do not know when your package will arrive 	A2YQAE441JMA7V	
Do I have to be a dance major to take classes 	I do not know if you have to be a dance major to take classes	A23CTGXNDDW5LC
What is the typical class size 	I do not know what the typical class size is 	ARKAJ6PL85CME
I want to change my flight to Tampa , this one is way too late and I wo n't make it in time	I am not able to help you change your flight 	3OYHVNTV5TQCK6K7M0HGSOOYAR0KO2
What can ANA SKY COIN be used for 	I do not know what ANA SKY COIN can be used for	A23CTGXNDDW5LC
How do I redeem my gift card 	I do not know how to redeem your gift card 	A1YKWG46AWMPUX	
How can I reprint my check stub 	I do not know how you can reprint your check stub 	A1S8DYWNS59XWB
What is the Young@Art Gallery 	I do not know what the Young@Art Gallery is 	A2K9PB0U45O0MU
How can you access your student 's account 	I do not know how I can access my student 's account 	A2RHBR7XZGUI1C
What are your new services that I can take advantage of 	I do not know what our new services are that you can take advantage of 	A1JBSFXMMRGSQD
What makes DXRacer different from ordinary chairs 	I do not know what makes a DXRacer different from ordinary chairs 	A1HLG5NN2I16GN
Do I need to bring an ID 	I do not know if you need to bring an ID 	A3I9FTHSULHPYS
Is there a minimum amount I have to purchase 	I do not know if there is a minimum amount you have to purchase	A23CTGXNDDW5LC
What is the federal Indian trust responsibility 	I do not know what the federal Indian trust responsibility is 	A3RD486RQUI2XV
Are there any options I can change on my account to lower my monthly bill 	I do not know if there any options you can change on your account to lower your monthly bill	A2IXBTOWQRCLPZ	
