I just had a car accident.	Sorry to hear about your accident.	neg	condensed
I just had a car accident.	Sorry to hear you had a car accident.	neg	full
I am feeling sick today.	I am sorry you are sick.	neg	condensed
I am feeling sick today.	I am sorry you are feeling sick today.	neg	full
I failed my history test.	I am sorry you failed your test.	neg	condensed
I failed my history test.	I am sorry you failed your history test.	neg	full
My cat died and I was so upset and cried so hard because of it.	I am sad your cat died.	neg	condensed
My cat died and I was so upset and cried so hard because of it.	I am sad your cat died and you are so upset because of it.	neg	full
The mechanic bill for my car really disrupted my finances.	Sorry to hear about your mechanic bill.	neg	condensed
The mechanic bill for my car really disrupted my finances.	Sorry to hear that the mechanic bill for your car disrupted your finances.	neg	full
I got into a fight with my boss at work today, he made me so mad!	I am sorry you got into a fight with your boss.	neg	condensed
I got into a fight with my boss at work today, he made me so mad!	I am sorry you got into a fight with your boss at work today.	neg	full
I finally believe I have a future.	Good to hear about your future!	pos	condensed
I finally believe I have a future.	Good to hear you believe in your future!	pos	full
I was so grateful for their support.	I am happy about the support!	pos	condensed
I was so grateful for their support.	I am happy you had their support!	pos	full
I felt loved.	I'm glad you're loved.	pos	condensed
I felt loved.	I'm glad you felt loved.	pos	full
I just found a great new cafe for lunch.	I am happy you found a new cafe.	pos	condensed
I just found a great new cafe for lunch.	I am happy you found a new cafe for lunch!	pos	full
I'm going to the opening of that new diner tonight, want to come?	Good to hear about the new diner!	pos	condensed
I'm going to the opening of that new diner tonight, want to come?	Good to hear about the opening of the new diner!	pos	full
I just found the full DVD collection of my favorite show.	I am glad you found the full DVD collection!	pos	condensed
I just found the full DVD collection of my favorite show.	I am glad you found the full DVD collection for your favorite show!	pos	full
I wish I had the answers.	I'm sorry you don't have the answers.	neg	condensed
I wish I had the answers.	I'm sorry to hear that you don't have the answers.	neg	full
The effort wasn't worth it.	I'm sorry it wasn't worth it.	neg	condensed
The effort wasn't worth it.	Sorry to hear that it wasn't worth the effort.	neg	full
We tried our best but it made no difference.	I'm sorry it didn't make a difference.	neg	condensed
We tried our best but it made no difference.	I'm sorry to hear that your effort didn't make a difference.	neg	full
I just found out my favorite bar is closing for good.	I'm sorry that it's closing.	neg	condensed
I just found out my favorite bar is closing for good.	I'm sorry to hear that your favorite bar is closing!	neg	full
My keyboard stopped working right in the middle of the set.	Sorry your keyboard stopped.	neg	condensed
My keyboard stopped working right in the middle of the set.	Sorry to hear that your keyboard stopped working.	neg	full
That guy last night ruined my favorite shirt when he spilled beer on it.	Sorry about your shirt.	neg	condensed
That guy last night ruined my favorite shirt when he spilled beer on it.	I am sorry that your shirt got beer spilled on it last night.	neg	full
I got some free stuff at the store!	I'm glad you got free stuff.	pos	condensed
I got some free stuff at the store!	I am glad you got some free stuff at the store!	pos	full
My paycheck was very fat this month!	I am happy you had a fat paycheck.	pos	condensed
My paycheck was very fat this month!	I am happy you had a fat paycheck this month.	pos	full
I just lost a lot of weight!	Good to hear you lost weight.	pos	condensed
I just lost a lot of weight!	Good to hear you lost a lot of weight.	pos	full
My mom sent me the prettiest stationary for my birthday.	I am glad your mom sent you stationery	pos	condensed
My mom sent me the prettiest stationary for my birthday.	I am glad your mom sent you the prettiest stationery for your birthday.	pos	full
I painted my walls a nice blue and it is really calming me down.	I am happy the blue is calming.	pos	condensed
I painted my walls a nice blue and it is really calming me down.	I am happy to hear your blue walls are calming you down.	pos	full
My dill plant is finally starting to perk up a bit.	I am glad you dill plant is perking up.	pos	condensed
My dill plant is finally starting to perk up a bit.	I am glad your dill plant is starting to perk up a bit.	pos	full
I found a dollar.	I am happy you found that.	pos	condensed
I found a dollar.	I am happy that you found a dollar.	pos	full
I got a cat today.	I'm glad you got a cat.	pos	condensed
I got a cat today.	I am glad you got a ca today.	pos	full
I biked home today.	I'm glad you biked home.	pos	condensed
I biked home today.	I am happy you could bike home today.	pos	full
I finally found my bundt pan I've been looking for since Friday.	I'm glad you found the pan	pos	condensed
I finally found my bundt pan I've been looking for since Friday.	It is good to hear you found the pan you've been looking for since then.	pos	full
I won a $100 Amazon gift card at work.	I'm glad you won a gift card	pos	condensed
I won a $100 Amazon gift card at work.	It is great to hear that you won an amazon card at work	pos	full
My favorite chocolate bar is being produced again!	I am happy your favorite is being produced again.	pos	condensed
My favorite chocolate bar is being produced again!	Good to hear that your favorite chocolate bar is going to be produced again.	pos	full
